id,title_ru,title_en,category,kind,calories,protein,fat,carbs,sugar,carb_type,fiber,alcohol,salt,health_level,composition,ingredients,preparation,minutes,cost,image,video,history,doctor_review,source_url,data_license
off-6111246721261,"Fromage Blanc Nature — Milky Food Professional, 1 kg [6111246721261]","Fromage Blanc Nature — Milky Food Professional, 1 kg [6111246721261]",Dairies,product,159,5,11,10,4,смешанные,0,,0.1,6,"Lait de vache pasteurisé, Protéines de lait de vache, Crème de lait de vache, Ferment lactique, Amidon, Epaississant, Sorbate de potassium","Lait de vache pasteurisé, Protéines de lait de vache, Crème de lait de vache, Ferment lactique, Amidon, Epaississant, Sorbate de potassium",,0,0,https://images.openfoodfacts.org/images/products/611/124/672/1261/front_fr.118.200.jpg,,,"Справочная нутриционная оценка по опубликованному составу и Nutri-Score: мало сахара по данным карточки. Ориентир по частоте: обычно подходит для периодического употребления с учётом порции и остального рациона. Проверяйте фактическую порцию, аллергены и этикетку. Это автоматическая справка, не персональный отзыв врача и не назначение лечения.",http://world-en.openfoodfacts.org/product/6111246721261/fromage-blanc-nature-milky-food-professional,Open Food Facts — ODbL 1.0
off-6111242100992,"Perly — Jaouda, 100 g [6111242100992]","Perly — Jaouda, 100 g [6111242100992]",Dairies,product,97,8,3,9,9,простые,0,,0,9,"milk cream, cream, sugar, banana, bacteria","milk cream, cream, sugar, banana, bacteria",,0,0,https://images.openfoodfacts.org/images/products/611/124/210/0992/front_fr.172.200.jpg,,,"Справочная нутриционная оценка по опубликованному составу и Nutri-Score: выраженные пищевые факторы по заполненным полям не выделены. Ориентир по частоте: может регулярно входить в разнообразный рацион при подходящем размере порции. Проверяйте фактическую порцию, аллергены и этикетку. Это автоматическая справка, не персональный отзыв врача и не назначение лечения.",http://world-en.openfoodfacts.org/product/6111242100992/perly-jaouda,Open Food Facts — ODbL 1.0
off-6111266962187,"Lait — Jaouda, 450 ml [6111266962187]","Lait — Jaouda, 450 ml [6111266962187]",Dairies,meal,45,3,2,5,0,сложные,0,,0.23,8,Lait frais pasteurisé demi-écrémé à 15g/l de matière grasse,Lait frais pasteurisé demi-écrémé à 15g/l de matière grasse,"Источник не содержит проверенного рецепта этого готового блюда. Следуйте способу приготовления, температуре и условиям хранения на упаковке; не используйте эту карточку как замену инструкции производителя.",0,0,https://images.openfoodfacts.org/images/products/611/126/696/2187/front_fr.56.200.jpg,,,"Справочная нутриционная оценка по опубликованному составу и Nutri-Score: мало сахара по данным карточки. Ориентир по частоте: может регулярно входить в разнообразный рацион при подходящем размере порции. Проверяйте фактическую порцию, аллергены и этикетку. Это автоматическая справка, не персональный отзыв врача и не назначение лечения.",http://world-en.openfoodfacts.org/product/6111266962187/lait-jaouda,Open Food Facts — ODbL 1.0
off-6111242106949,"Jben — Jaouda, 160g [6111242106949]","Jben — Jaouda, 160g [6111242106949]",Dairies,product,235,8,21,4,0,сложные,0,,0.46,4,"lait frais entier, crème, stabilisants, amidon, carraghénane, sel, ferments lactiques matière grasse 21%","lait frais entier, crème, stabilisants, amidon, carraghénane, sel, ferments lactiques matière grasse 21%",,0,0,https://images.openfoodfacts.org/images/products/611/124/210/6949/front_fr.77.200.jpg,,,"Справочная нутриционная оценка по опубликованному составу и Nutri-Score: мало сахара по данным карточки. Ориентир по частоте: лучше употреблять умеренно и сравнивать с менее сладкими или солёными вариантами. Проверяйте фактическую порцию, аллергены и этикетку. Это автоматическая справка, не персональный отзыв врача и не назначение лечения.",http://world-en.openfoodfacts.org/product/6111242106949/jben-jaouda,Open Food Facts — ODbL 1.0
off-7622210449283,"Prince Goût Chocolat au blé complet — Mondelez, 300 g [7622210449283]","Prince Goût Chocolat au blé complet — Mondelez, 300 g [7622210449283]",Snacks,sweet,465,6,17,69,32,смешанные,4,,0.51,2,"Céréale 50 % (Farine de blé 34,8 %, farine de blé complet 15,2 %), sucre, huiles végétales (palme, colza), cacao maigre en poudre 4,5 %, sirop de glucose, amidon de blé, poudres à lever (carbonates d'ammonium, carbonates de sodium), émulsifiant (lécithines de soja), sel, lait écrémé en poudre, perméat de lactosérum (de lait), arômes. Peut contenir œuf.","Céréale 50 % (Farine de blé 34,8 %, farine de blé complet 15,2 %), sucre, huiles végétales (palme, colza), cacao maigre en poudre 4,5 %, sirop de glucose, amidon de blé, poudres à lever (carbonates d'ammonium, carbonates de sodium), émulsifiant (lécithines de soja), sel, lait écrémé en poudre, perméat de lactosérum (de lait), arômes. Peut contenir œuf.",,0,0,https://images.openfoodfacts.org/images/products/762/221/044/9283/front_en.605.200.jpg,,,"Справочная нутриционная оценка по опубликованному составу и Nutri-Score: много сахара (32 г на 100 г/мл); высокая энергетическая плотность (465 ккал). Ориентир по частоте: лучше оставить для редкого употребления, если врач или диетолог не рекомендовал иначе. Проверяйте фактическую порцию, аллергены и этикетку. Это автоматическая справка, не персональный отзыв врача и не назначение лечения.",http://world-en.openfoodfacts.org/product/7622210449283/prince-gout-chocolat-au-ble-complet-mondelez,Open Food Facts — ODbL 1.0
off-6111242101180,uht jaouda 1L [6111242101180],uht jaouda 1L [6111242101180],Dairies,product,58,3,3,5,0,сложные,0,,0,8,Lait entier,Lait entier,,0,0,https://images.openfoodfacts.org/images/products/611/124/210/1180/front_fr.79.200.jpg,,,"Справочная нутриционная оценка по опубликованному составу и Nutri-Score: мало сахара по данным карточки. Ориентир по частоте: может регулярно входить в разнообразный рацион при подходящем размере порции. Проверяйте фактическую порцию, аллергены и этикетку. Это автоматическая справка, не персональный отзыв врача и не назначение лечения.",http://world-en.openfoodfacts.org/product/6111242101180/uht-jaouda-1l,Open Food Facts — ODbL 1.0
off-3760049790214,"Pain De Mie Bio — La Boulangère,La Boulangère Bio, 500 g [3760049790214]","Pain De Mie Bio — La Boulangère,La Boulangère Bio, 500 g [3760049790214]",Plant-based foods and beverages,drink,268,8,4,47,6,сложные,5,0.01,1.1,6,"wheat flour* 44%, water, whole wheat flour* 13%, brown cane sugar*, yeast, rapeseed oil*, apple cider vinegar*, wheat bran*, salt, wheat gluten*, ascorbic acid, possible traces of soy","wheat flour* 44%, water, whole wheat flour* 13%, brown cane sugar*, yeast, rapeseed oil*, apple cider vinegar*, wheat bran*, salt, wheat gluten*, ascorbic acid, possible traces of soy",,0,0,https://images.openfoodfacts.org/images/products/376/004/979/0214/front_en.262.200.jpg,,,"Справочная нутриционная оценка по опубликованному составу и Nutri-Score: содержит алкоголь; безопасной универсальной дозы приложение не определяет. Ориентир по частоте: обычно подходит для периодического употребления с учётом порции и остального рациона. Проверяйте фактическую порцию, аллергены и этикетку. Это автоматическая справка, не персональный отзыв врача и не назначение лечения.",http://world-en.openfoodfacts.org/product/3760049790214/pain-de-mie-bio-la-boulangere,Open Food Facts — ODbL 1.0
off-6111246721278,"Cream cheese — Original, 1 kg [6111246721278]","Cream cheese — Original, 1 kg [6111246721278]",Dairies,product,257,10,18,3,0,сложные,0,,0,9,"Lait de Vache pasteurisé, Crème fraiche pasteurisée ferments lactiques, Présure,Sel.","Lait de Vache pasteurisé, Crème fraiche pasteurisée ferments lactiques, Présure,Sel.",,0,0,https://images.openfoodfacts.org/images/products/611/124/672/1278/front_en.4.200.jpg,,,"Справочная нутриционная оценка по опубликованному составу и Nutri-Score: мало сахара по данным карточки. Ориентир по частоте: может регулярно входить в разнообразный рацион при подходящем размере порции. Проверяйте фактическую порцию, аллергены и этикетку. Это автоматическая справка, не персональный отзыв врача и не назначение лечения.",http://world-en.openfoodfacts.org/product/6111246721278/cream-cheese-original,Open Food Facts — ODbL 1.0
off-3046920029759,"Extra fine dark chocolate — Lindt & Sprüngli, 100g [3046920029759]","Extra fine dark chocolate — Lindt & Sprüngli, 100g [3046920029759]",Snacks,sweet,592,10,55,14,7,простые,0,,0.03,2,"Cocoa mass, cocoa butter, low fat cocoa powder, sugar. May contain hazelnuts,","Cocoa mass, cocoa butter, low fat cocoa powder, sugar. May contain hazelnuts,",,0,0,https://images.openfoodfacts.org/images/products/304/692/002/9759/front_en.544.200.jpg,,,"Справочная нутриционная оценка по опубликованному составу и Nutri-Score: высокая энергетическая плотность (592 ккал). Ориентир по частоте: лучше оставить для редкого употребления, если врач или диетолог не рекомендовал иначе. Проверяйте фактическую порцию, аллергены и этикетку. Это автоматическая справка, не персональный отзыв врача и не назначение лечения.",http://world-en.openfoodfacts.org/product/3046920029759/extra-fine-dark-chocolate-lindt-sprungli,Open Food Facts — ODbL 1.0
off-5449000054227,"Cocacola original 500 — Coca-Cola, 1 l [5449000054227]","Cocacola original 500 — Coca-Cola, 1 l [5449000054227]",Beverages and beverages preparations,drink,42,0,0,11,11,простые,0,,0,2,"Water, fructose - glucose syrup, carbon dioxide, colorant: e150d, acid: phosphoric acid, natural flavorings (including caffeine).","Water, fructose - glucose syrup, carbon dioxide, colorant: e150d, acid: phosphoric acid, natural flavorings (including caffeine).",,0,0,https://images.openfoodfacts.org/images/products/544/900/005/4227/front_en.533.200.jpg,,,"Справочная нутриционная оценка по опубликованному составу и Nutri-Score: сладкие напитки легче дают избыток сахара без насыщения. Ориентир по частоте: лучше оставить для редкого употребления, если врач или диетолог не рекомендовал иначе. Проверяйте фактическую порцию, аллергены и этикетку. Это автоматическая справка, не персональный отзыв врача и не назначение лечения.",http://world-en.openfoodfacts.org/product/5449000054227/cocacola-original-500-coca-cola,Open Food Facts — ODbL 1.0
