id,title_ru,title_en,focus,equipment,level,minutes,calories,sets,description,requirements,steps,warnings,image,video,history,doctor_review,source_url,data_license,focus_ru,equipment_ru,description_ru,requirements_ru,steps_ru,warnings_ru,history_ru
wger-1962,Шаг Джек [Wger-1962],Step Jack [wger-1962],"Cardio: Quads, Shoulders, Glutes, Obliquus externus abdominis, Abs",none (bodyweight exercise),средний,22,180,3,"The Step Jack is a low-impact plyometric-style move that provides cardiovascular benefits without the joint stress of jumping. It works the entire body, specifically targeting the legs, core, and shoulders. This move is ideal for beginners, individuals with joint sensitivities, or as a dynamic warm-up to gradually elevate the heart rate.\nNotes (Instructions):\n1. Stand upright with your feet together and arms at your sides.\n2. Step your right foot out to the side while simultaneously swinging both arms up above your head.\n3. Bring your right foot back to the center and lower your arms.\n4. Immediately repeat the movement, stepping out with your left foot.\n5. Continue alternating sides at a steady, rhythmic pace.",Инвентарь: none (bodyweight exercise). Освободите безопасное место и подготовьте воду.,"The Step Jack is a low-impact plyometric-style move that provides cardiovascular benefits without the joint stress of jumping. It works the entire body, specifically targeting the legs, core, and shoulders. This move is ideal for beginners, individuals with joint sensitivities, or as a dynamic warm-up to gradually elevate the heart rate.\nNotes (Instructions):\n1. Stand upright with your feet together and arms at your sides.\n2. Step your right foot out to the side while simultaneously swinging both arms up above your head.\n3. Bring your right foot back to the center and lower your arms.\n4. Immediately repeat the movement, stepping out with your left foot.\n5. Continue alternating sides at a steady, rhythmic pace.","Прекратите упражнение при острой боли, головокружении, необычной одышке или сердцебиении. При ограничениях согласуйте нагрузку со специалистом.",https://wger.de/media/exercise-images/1962/74041371-1019-4f89-9ebe-cec792484a46.png.400x400_q85.png,,,"Справочная проверка безопасности: повышайте объём постепенно и прекращайте подход при потере техники. Инвентарь: none (bodyweight exercise). Расход 180 ккал за 22 мин рассчитан ориентировочно для массы 70 кг и меняется с интенсивностью и индивидуальными особенностями. При травмах, боли, беременности, сердечно-сосудистых или иных ограничениях согласуйте нагрузку со специалистом. Это автоматическая справка, не персональное заключение врача.",https://wger.de/en/exercise/1962/view,wger · CC-BY-SA 4 · Anon#2,"Кардио: квадроциклы, плечи, глюты, абдоминиз, абдоминиз",никаких (нагрузки на вес тела),"Шаг Джек - это движение малой степени влияния, которое обеспечивает сердечно-сосудистые преимущества без соединения стресса прыжков.\nЗаметки (инструкции):\n1. Стойте прямо, ноги вместе и руки на стороне.\n2. Выдвините правую ногу в сторону, одновременно поднимая обе руки над головой.\n3. Верните правое ногу обратно в центр и опустите руки.\n4. Немедленно повторяйте движение, выходя левой ногой.\n5. Продолжайте перемещаться по сторонам в устойчивом, ритмическом темпе.",Инвентарь: никаких (нагрузки на вес тела). Освободите безопасное место и подготовьте воду.,"Шаг Джек - это движение малой степени влияния, которое обеспечивает сердечно-сосудистые преимущества без соединения стресса прыжков.\nЗаметки (инструкции):\n1. Стойте прямо, ноги вместе и руки на стороне.\n2. Выдвините правую ногу в сторону, одновременно поднимая обе руки над головой.\n3. Верните правое ногу обратно в центр и опустите руки.\n4. Немедленно повторяйте движение, выходя левой ногой.\n5. Продолжайте перемещаться по сторонам в устойчивом, ритмическом темпе.","Прекратите упражнение при острой боли, головокружении, необычной одышке или сердцебиении. При ограничениях согласуйте нагрузку со специалистом.",
wger-1963,Постепенный кровать [Wger-1963],Slow Squat [wger-1963],"Legs: Quads, Hamstrings, Glutes, Abs",none (bodyweight exercise),средний,23,148,4,A tempo-based squat that uses controlled movement to increase muscle tension and improve lower-body stability.\n1. Lower: Descend slowly for 3 seconds.\n2. Pause: Hold at the bottom for 1 second.\n3. Stand: Return to the starting position at a normal pace.\n4. Form: Keep your chest up and weight in your heels.,Инвентарь: none (bodyweight exercise). Освободите безопасное место и подготовьте воду.,A tempo-based squat that uses controlled movement to increase muscle tension and improve lower-body stability.\n1. Lower: Descend slowly for 3 seconds.\n2. Pause: Hold at the bottom for 1 second.\n3. Stand: Return to the starting position at a normal pace.\n4. Form: Keep your chest up and weight in your heels.,"Прекратите упражнение при острой боли, головокружении, необычной одышке или сердцебиении. При ограничениях согласуйте нагрузку со специалистом.",https://wger.de/media/exercise-images/1963/db285682-1ab3-4be0-ae00-5117ecce1ee6.png.400x400_q85.png,,,"Справочная проверка безопасности: повышайте объём постепенно и прекращайте подход при потере техники. Инвентарь: none (bodyweight exercise). Расход 148 ккал за 23 мин рассчитан ориентировочно для массы 70 кг и меняется с интенсивностью и индивидуальными особенностями. При травмах, боли, беременности, сердечно-сосудистых или иных ограничениях согласуйте нагрузку со специалистом. Это автоматическая справка, не персональное заключение врача.",https://wger.de/en/exercise/1963/view,wger · CC-BY-SA 4 · Anon#2,"Ноги: квадры, шнурки, глюты, абс",никаких (нагрузки на вес тела),"Устремление на основе темпа, которое использует контролируемое движение для повышения мышечного напряжения и улучшения стабильности нижней части тела. 1. Ниже: медленно спускаться в течение 3 секунд. 2. Пауза: держать внизу в течение 1 секунды. 3. стоять: возвращаться в исходное положение в нормальном темпе. 4. Форма: держать грудь вверх и вес в каблуках.",Инвентарь: никаких (нагрузки на вес тела). Освободите безопасное место и подготовьте воду.,"Устремление на основе темпа, которое использует контролируемое движение для повышения мышечного напряжения и улучшения стабильности нижней части тела. 1. Ниже: медленно спускаться в течение 3 секунд. 2. Пауза: держать внизу в течение 1 секунды. 3. стоять: возвращаться в исходное положение в нормальном темпе. 4. Форма: держать грудь вверх и вес в каблуках.","Прекратите упражнение при острой боли, головокружении, необычной одышке или сердцебиении. При ограничениях согласуйте нагрузку со специалистом.",
wger-1964,Широкий толчок [Wger-1964],Wide Push-Up [wger-1964],"Chest: Chest, Abs, Triceps",none (bodyweight exercise),продвинутый,24,140,5,"A push-up variation with a wider hand placement to increase the emphasis on the outer chest muscles and shoulders.\n1. Setup: Place hands wider than shoulder-width apart on the floor.\n1. Lower: Descend until your chest nearly touches the floor, keeping your core tight.\n1. Push: Drive through your palms to return to the start position.\n1. Form: Don't let your lower back sag; keep a straight line from head to heels.",Инвентарь: none (bodyweight exercise). Освободите безопасное место и подготовьте воду.,"A push-up variation with a wider hand placement to increase the emphasis on the outer chest muscles and shoulders.\n1. Setup: Place hands wider than shoulder-width apart on the floor.\n1. Lower: Descend until your chest nearly touches the floor, keeping your core tight.\n1. Push: Drive through your palms to return to the start position.\n1. Form: Don't let your lower back sag; keep a straight line from head to heels.","Прекратите упражнение при острой боли, головокружении, необычной одышке или сердцебиении. При ограничениях согласуйте нагрузку со специалистом.",https://wger.de/static/images/muscles/main/muscle-4.c9fa9a228bc8.svg,,,"Справочная проверка безопасности: повышайте объём постепенно и прекращайте подход при потере техники. Инвентарь: none (bodyweight exercise). Расход 140 ккал за 24 мин рассчитан ориентировочно для массы 70 кг и меняется с интенсивностью и индивидуальными особенностями. При травмах, боли, беременности, сердечно-сосудистых или иных ограничениях согласуйте нагрузку со специалистом. Это автоматическая справка, не персональное заключение врача.",https://wger.de/en/exercise/1964/view,wger · CC-BY-SA 4 · Anon#2,"Кровь: грудь, абс, трицепс",никаких (нагрузки на вес тела),"Разновидность подталкивания с более широким расположением рук для повышения акцента на наружные мышцы и плечи груди. 1. Настройка: Разместите руки шире, чем ширина плеча, на полу. 1. Ниже: Спуститься, пока грудь почти не касается пола, держая ядро тесно. 1.",Инвентарь: никаких (нагрузки на вес тела). Освободите безопасное место и подготовьте воду.,"Разновидность подталкивания с более широким расположением рук для повышения акцента на наружные мышцы и плечи груди. 1. Настройка: Разместите руки шире, чем ширина плеча, на полу. 1. Ниже: Спуститься, пока грудь почти не касается пола, держая ядро тесно. 1.","Прекратите упражнение при острой боли, головокружении, необычной одышке или сердцебиении. При ограничениях согласуйте нагрузку со специалистом.",
wger-1965,Марширующие высокие колени [Wger-1965],Marching High Knees [wger-1965],"Legs: Quads, Calves, Glutes, Abs",none (bodyweight exercise),средний,25,160,3,"A low-impact cardio and mobility exercise that strengthens the hip flexors and improves balance.\n1. Movement: Stand tall and lift one knee toward your chest as high as comfortable.\n1. Arms: Swing the opposite arm forward as you lift your knee, similar to a walking motion.\n1. Core: Keep your abs engaged to maintain an upright posture.\n1. Pace: Perform the movement with control, alternating legs rhythmically.",Инвентарь: none (bodyweight exercise). Освободите безопасное место и подготовьте воду.,"A low-impact cardio and mobility exercise that strengthens the hip flexors and improves balance.\n1. Movement: Stand tall and lift one knee toward your chest as high as comfortable.\n1. Arms: Swing the opposite arm forward as you lift your knee, similar to a walking motion.\n1. Core: Keep your abs engaged to maintain an upright posture.\n1. Pace: Perform the movement with control, alternating legs rhythmically.","Прекратите упражнение при острой боли, головокружении, необычной одышке или сердцебиении. При ограничениях согласуйте нагрузку со специалистом.",https://wger.de/media/exercise-images/1965/03c08a42-dedb-4a46-8d15-acaf497a35a2.png.400x400_q85.png,,,"Справочная проверка безопасности: повышайте объём постепенно и прекращайте подход при потере техники. Инвентарь: none (bodyweight exercise). Расход 160 ккал за 25 мин рассчитан ориентировочно для массы 70 кг и меняется с интенсивностью и индивидуальными особенностями. При травмах, боли, беременности, сердечно-сосудистых или иных ограничениях согласуйте нагрузку со специалистом. Это автоматическая справка, не персональное заключение врача.",https://wger.de/en/exercise/1965/view,wger · CC-BY-SA 4 · Anon#2,"Ноги: квад, тельца, глюты, абс",никаких (нагрузки на вес тела),"Малодейственное кардио- и мобильное упражнение, укрепляющее гибкие флекторы и улучшающее баланс. 1. Движение: стоять высоко и поднимать одно колено в сторону груди, как можно выше. 1. Руки: поднимая противоположное руковое положение вперед, подобно ходьбе. 1. Основное: держать брюшное тело в движении, чтобы поддерживать прямой позу. 1.",Инвентарь: никаких (нагрузки на вес тела). Освободите безопасное место и подготовьте воду.,"Малодейственное кардио- и мобильное упражнение, укрепляющее гибкие флекторы и улучшающее баланс. 1. Движение: стоять высоко и поднимать одно колено в сторону груди, как можно выше. 1. Руки: поднимая противоположное руковое положение вперед, подобно ходьбе. 1. Основное: держать брюшное тело в движении, чтобы поддерживать прямой позу. 1.","Прекратите упражнение при острой боли, головокружении, необычной одышке или сердцебиении. При ограничениях согласуйте нагрузку со специалистом.",
wger-981,Поступления [wger-981],Step-ups [wger-981],Legs,Bench,средний,29,186,3,Starting position:\nStand facing a chair.\nSteps:\n1. Step up onto the chair.\n2. Step off the chair.\n3. Repeat.,Инвентарь: Bench. Освободите безопасное место и подготовьте воду.,Starting position:\nStand facing a chair.\nSteps:\n1. Step up onto the chair.\n2. Step off the chair.\n3. Repeat.,"Прекратите упражнение при острой боли, головокружении, необычной одышке или сердцебиении. При ограничениях согласуйте нагрузку со специалистом.",https://wger.de/media/exercise-images/981/f9377a7e-eb58-4cca-b805-2d36863aeb03.png.400x400_q85.png,,,"Справочная проверка безопасности: повышайте объём постепенно и прекращайте подход при потере техники. Инвентарь: Bench. Расход 186 ккал за 29 мин рассчитан ориентировочно для массы 70 кг и меняется с интенсивностью и индивидуальными особенностями. При травмах, боли, беременности, сердечно-сосудистых или иных ограничениях согласуйте нагрузку со специалистом. Это автоматическая справка, не персональное заключение врача.",https://wger.de/en/exercise/981/view,wger · CC-BY-SA 4 · wger community,Ноги,Бэнч,Позиция начала: стоять напротив стула. Шаги: 1. подняться на стул. 2. выйти с стула. 3. повторить.,Инвентарь: Бэнч. Освободите безопасное место и подготовьте воду.,Позиция начала: стоять напротив стула. Шаги: 1. подняться на стул. 2. выйти с стула. 3. повторить.,"Прекратите упражнение при острой боли, головокружении, необычной одышке или сердцебиении. При ограничениях согласуйте нагрузку со специалистом.",
wger-1967,медленно вперед сидя [wger-1967],lento avanti seduto [wger-1967],Back: Shoulders,Dumbbell,продвинутый,27,158,5,slow controlled seated forward exercise with dumbbells,Инвентарь: Dumbbell. Освободите безопасное место и подготовьте воду.,slow controlled seated forward exercise with dumbbells,"Прекратите упражнение при острой боли, головокружении, необычной одышке или сердцебиении. При ограничениях согласуйте нагрузку со специалистом.",https://wger.de/static/images/muscles/main/muscle-2.e1e1205a3202.svg,,,"Справочная проверка безопасности: повышайте объём постепенно и прекращайте подход при потере техники. Инвентарь: Dumbbell. Расход 158 ккал за 27 мин рассчитан ориентировочно для массы 70 кг и меняется с интенсивностью и индивидуальными особенностями. При травмах, боли, беременности, сердечно-сосудистых или иных ограничениях согласуйте нагрузку со специалистом. Это автоматическая справка, не персональное заключение врача.",https://wger.de/en/exercise/1967/view,wger · CC-BY-SA 4 · Cf,Задняя: плечи,Дэмббелл,медленное контролируемое сидячее передние упражнения с пуговицами,Инвентарь: Дэмббелл. Освободите безопасное место и подготовьте воду.,медленное контролируемое сидячее передние упражнения с пуговицами,"Прекратите упражнение при острой боли, головокружении, необычной одышке или сердцебиении. При ограничениях согласуйте нагрузку со специалистом.",
wger-1968,Одноручная дуббеллевая плечевая пресса [wger-1968],Single-arm dumbbell shoulder press [wger-1968],"Shoulders: Shoulders, Abs, Serratus anterior, Trapezius, Triceps",Dumbbell,средний,28,147,3,"Press the dumbbell vertically overhead in a controlled motion until your arm is fully extended, without locking the elbow. Slowly lower the dumbbell back to the starting position at shoulder height.",Инвентарь: Dumbbell. Освободите безопасное место и подготовьте воду.,"Press the dumbbell vertically overhead in a controlled motion until your arm is fully extended, without locking the elbow. Slowly lower the dumbbell back to the starting position at shoulder height.","Прекратите упражнение при острой боли, головокружении, необычной одышке или сердцебиении. При ограничениях согласуйте нагрузку со специалистом.",https://wger.de/media/exercise-images/1968/cd92e973-a0d9-4e5f-9011-5369012598d3.png.400x400_q85.png,,,"Справочная проверка безопасности: повышайте объём постепенно и прекращайте подход при потере техники. Инвентарь: Dumbbell. Расход 147 ккал за 28 мин рассчитан ориентировочно для массы 70 кг и меняется с интенсивностью и индивидуальными особенностями. При травмах, боли, беременности, сердечно-сосудистых или иных ограничениях согласуйте нагрузку со специалистом. Это автоматическая справка, не персональное заключение врача.",https://wger.de/en/exercise/1968/view,wger · CC-BY-SA 4 · evtimovgeorg,"Оплеки: Оплеки, Абс, Серрат передний, Трапеций, Трицепс",Дэмббелл,"Нажмите на ручку вертикально над головой в контролируемом движении, пока рука не будет полностью вытянута, не запервая локтей.",Инвентарь: Дэмббелл. Освободите безопасное место и подготовьте воду.,"Нажмите на ручку вертикально над головой в контролируемом движении, пока рука не будет полностью вытянута, не запервая локтей.","Прекратите упражнение при острой боли, головокружении, необычной одышке или сердцебиении. При ограничениях согласуйте нагрузку со специалистом.",
wger-1970,Кеттлбелл Сумо высокое тяготе [Wger-1970],Kettlebell sumo high pull [wger-1970],"Back: Trapezius, Shoulders, Hamstrings, Glutes, Quads",Kettlebell,продвинутый,30,175,5,"A compound exercise combining elements of a sumo deadlift and a high pull. It targets the posterior chain, particularly the glutes, hamstrings, and upper back. The sumo stance increases hip engagement, while the high pull adds an explosive element, promoting power development.\n* Stand upright overtop of a kettlebell with your feet wider than shoulder-width apart angled out slightly.\n* Maintain a braced core and neutral spine throughout the exercise.\n* Hinge your hips backward and extend your arms to grab ahold the kettlebell with a double overhand grip.\n* With you lower legs nearly vertical to the ground, extend your hips to raise the kettlebell with your elbows high keeping it close to your body.\n* Once the kettlebell has reached shoulder height, lower back to the starting position.",Инвентарь: Kettlebell. Освободите безопасное место и подготовьте воду.,"A compound exercise combining elements of a sumo deadlift and a high pull. It targets the posterior chain, particularly the glutes, hamstrings, and upper back. The sumo stance increases hip engagement, while the high pull adds an explosive element, promoting power development.\n* Stand upright overtop of a kettlebell with your feet wider than shoulder-width apart angled out slightly.\n* Maintain a braced core and neutral spine throughout the exercise.\n* Hinge your hips backward and extend your arms to grab ahold the kettlebell with a double overhand grip.\n* With you lower legs nearly vertical to the ground, extend your hips to raise the kettlebell with your elbows high keeping it close to your body.\n* Once the kettlebell has reached shoulder height, lower back to the starting position.","Прекратите упражнение при острой боли, головокружении, необычной одышке или сердцебиении. При ограничениях согласуйте нагрузку со специалистом.",https://wger.de/static/images/muscles/main/muscle-9.b491050a7108.svg,,,"Справочная проверка безопасности: повышайте объём постепенно и прекращайте подход при потере техники. Инвентарь: Kettlebell. Расход 175 ккал за 30 мин рассчитан ориентировочно для массы 70 кг и меняется с интенсивностью и индивидуальными особенностями. При травмах, боли, беременности, сердечно-сосудистых или иных ограничениях согласуйте нагрузку со специалистом. Это автоматическая справка, не персональное заключение врача.",https://wger.de/en/exercise/1970/view,wger · CC-BY-SA 4 · wgerpott,"Задняя: Трапезий, плечи, шейки, глюты, квадры",Кеттлбелл,"Соединенное упражнение, объединяющее элементы подъема сумо и высокое тяготе.\n* Стойте прямо над котлеткой, ноги вытянуты в сторону, немного шире, чем плечо.\n* В течение всего упражнения поддерживайте закрепленное ядро и нейтральную позвоночник.\n* Поднимите бедра назад и вытяните руки, чтобы с двойной рукой схватить котлебэлл.\n* Если нижние ноги почти вертикальны к земле, вытяните бедра, чтобы поднять kettlebell с локти высоко, держа его близко к телу.\n* Как только котлетник достигнет высоты плеча, опустите спину в начальное положение.",Инвентарь: Кеттлбелл. Освободите безопасное место и подготовьте воду.,"Соединенное упражнение, объединяющее элементы подъема сумо и высокое тяготе.\n* Стойте прямо над котлеткой, ноги вытянуты в сторону, немного шире, чем плечо.\n* В течение всего упражнения поддерживайте закрепленное ядро и нейтральную позвоночник.\n* Поднимите бедра назад и вытяните руки, чтобы с двойной рукой схватить котлебэлл.\n* Если нижние ноги почти вертикальны к земле, вытяните бедра, чтобы поднять kettlebell с локти высоко, держа его близко к телу.\n* Как только котлетник достигнет высоты плеча, опустите спину в начальное положение.","Прекратите упражнение при острой боли, головокружении, необычной одышке или сердцебиении. При ограничениях согласуйте нагрузку со специалистом.",
wger-1971,Менцер Пулдаун [Wger-1971],Mentzer Pulldown [wger-1971],"Arms: Biceps, Lats",Incline bench,средний,31,163,3,"Close grip front facing Pull down, while focusing on Biceps, Increases activation of biceps over the whole range, Avoid activating Lats.",Инвентарь: Incline bench. Освободите безопасное место и подготовьте воду.,"Close grip front facing Pull down, while focusing on Biceps, Increases activation of biceps over the whole range, Avoid activating Lats.","Прекратите упражнение при острой боли, головокружении, необычной одышке или сердцебиении. При ограничениях согласуйте нагрузку со специалистом.",https://wger.de/media/exercise-images/1971/729af526-19a0-4d3d-a258-196c7575d139.jpg.400x400_q85.jpg,,,"Справочная проверка безопасности: повышайте объём постепенно и прекращайте подход при потере техники. Инвентарь: Incline bench. Расход 163 ккал за 31 мин рассчитан ориентировочно для массы 70 кг и меняется с интенсивностью и индивидуальными особенностями. При травмах, боли, беременности, сердечно-сосудистых или иных ограничениях согласуйте нагрузку со специалистом. Это автоматическая справка, не персональное заключение врача.",https://wger.de/en/exercise/1971/view,wger · CC-BY-SA 4 · Mike Mentzer,"Руки: бицепсы, латы",Наклоненная скамейка,"Закрыть прицеп передняя направленная Спускать вниз, сосредоточиваясь на бицепсах, Увеличивает активацию бицепсов по всему диапазону, избегайте активации латов.",Инвентарь: Наклоненная скамейка. Освободите безопасное место и подготовьте воду.,"Закрыть прицеп передняя направленная Спускать вниз, сосредоточиваясь на бицепсах, Увеличивает активацию бицепсов по всему диапазону, избегайте активации латов.","Прекратите упражнение при острой боли, головокружении, необычной одышке или сердцебиении. При ограничениях согласуйте нагрузку со специалистом.",
wger-1972,Одноручная лат-погрузка [wger-1972],Single-Arm Lat Pulldown [wger-1972],"Back: Lats, Trapezius, Biceps, Brachialis",bodyweight,средний,32,187,4,"Sit at the lat pulldown machine and grab the single handle with a neutral grip. Keep your torso stable, your chest lifted, and your shoulder blades slightly retracted. Start with your arm fully extended overhead, then pull the handle down toward your upper chest following a controlled, slightly diagonal path. Focus on engaging the latissimus dorsi while keeping the shoulder depressed and avoiding any torso rotation. Slowly return to the starting position, maintaining full control throughout the movement.",Инвентарь: bodyweight. Освободите безопасное место и подготовьте воду.,"Sit at the lat pulldown machine and grab the single handle with a neutral grip. Keep your torso stable, your chest lifted, and your shoulder blades slightly retracted. Start with your arm fully extended overhead, then pull the handle down toward your upper chest following a controlled, slightly diagonal path. Focus on engaging the latissimus dorsi while keeping the shoulder depressed and avoiding any torso rotation. Slowly return to the starting position, maintaining full control throughout the movement.","Прекратите упражнение при острой боли, головокружении, необычной одышке или сердцебиении. При ограничениях согласуйте нагрузку со специалистом.",https://wger.de/static/images/muscles/main/muscle-12.6a5de7a0e373.svg,,,"Справочная проверка безопасности: повышайте объём постепенно и прекращайте подход при потере техники. Инвентарь: bodyweight. Расход 187 ккал за 32 мин рассчитан ориентировочно для массы 70 кг и меняется с интенсивностью и индивидуальными особенностями. При травмах, боли, беременности, сердечно-сосудистых или иных ограничениях согласуйте нагрузку со специалистом. Это автоматическая справка, не персональное заключение врача.",https://wger.de/en/exercise/1972/view,wger · CC-BY-SA 4 · evtimovgeorg,"Задние: латы, трапезий, бицепс, брахиалис",вес тела,"Присаживайтесь к латину и держите за одну рукоятку нейтральным ухватительством. Держите тело стабильным, грудь поднята, а плечевые лопаты слегка оттянуты. Начните с полностью вытянутой руки над головой, затем тяните рукоятку вниз в сторону верхней части груди по контролируемому, слегка диагональному пути.\nПостепенно возвращайтесь в исходное положение, поддерживая полный контроль на протяжении всего движения.",Инвентарь: вес тела. Освободите безопасное место и подготовьте воду.,"Присаживайтесь к латину и держите за одну рукоятку нейтральным ухватительством. Держите тело стабильным, грудь поднята, а плечевые лопаты слегка оттянуты. Начните с полностью вытянутой руки над головой, затем тяните рукоятку вниз в сторону верхней части груди по контролируемому, слегка диагональному пути.\nПостепенно возвращайтесь в исходное положение, поддерживая полный контроль на протяжении всего движения.","Прекратите упражнение при острой боли, головокружении, необычной одышке или сердцебиении. При ограничениях согласуйте нагрузку со специалистом.",
